"Item Description",Duration,"Andhra Pradesh ","Arunachal Pradesh",Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,"Himachal Pradesh","Jammu & Kashmir",Jharkhand,Karnataka,Kerala,"Madhya Pradesh",Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,"Tamil Nadu",Telangana,Tripura,"Uttar Pradesh",Uttarakhand,"West Bengal1","Andaman & Nicobar Islands",Chandigarh,Delhi,Puducherry,"All_India NDP"
"NSDP - CONSTANT PRICES (` in Crore)",2011-12,339996,10229,129354,228497,142273,38009,532809,271152,60536,67272,137383,552720,328021,282370,1119192,11501,18028,6404,10217,201111,239227,396960,9742,674478,325138,17419,645130,102156,NA,3404,16930,314619,15160,7818898
"NSDP - CONSTANT PRICES (` in Crore)",2012-13,341335,10399,132518,236932,148719,32453,596659,289414,64519,67064,149526,584730,348616,306632,1188885,11507,18323,6836,10737,211307,251813,410225,9970,705426,333674,18857,670231,109961,NA,3557,18285,334103,15507,8205908
"NSDP - CONSTANT PRICES (` in Crore)",2013-14,360239,11235,138725,246915,163187,27971,641489,314224,69398,70950,150609,644097,364707,321660,1261944,12521,18397,7831,11957,226410,268423,435163,10590,740623,349518,20623,708210,118129,NA,3824,19622,355337,17239,8718820
"NSDP - CONSTANT PRICES (` in Crore)",2014-15,391373,12323,149313,279711,175414,30675,695974,331413,74572,69943,169758,691676,393702,337522,1329308,13383,18728,8348,12124,239051,280902,461845,11232,790760,380514,22584,753114,123341,NA,4214,21456,382103,18349,9337045
"NSDP - CONSTANT PRICES (` in Crore)",2015-16,434433,12693,160724,299814,184693,33584,761049,361231,NA,78775,192404,741744,426132,363224,NA,NA,19942,NA,NA,253296,NA,NA,11948,863423,416524,NA,807104,134109,NA,NA,23729,414964,19927,10080883
"NSDP - CONSTANT PRICES (` in Crore)",2016-17,484930,NA,NA,NA,198922,NA,NA,392729,NA,NA,NA,NA,NA,408493,NA,NA,21275,NA,NA,273914,NA,NA,NA,933662,459504,NA,NA,NA,NA,NA,NA,448529,21728,10803651
"(% Growth over previous year)",2012-13,0.39,1.65,2.45,3.69,4.53,-14.62,11.98,6.73,6.58,-0.31,8.84,5.79,6.28,8.59,6.23,0.05,1.64,6.75,5.09,5.07,5.26,3.34,2.34,4.59,2.63,8.26,3.89,7.64,NA,4.5,8.01,6.19,2.29,4.95
"(% Growth over previous year)",2013-14,5.54,8.05,4.68,4.21,9.73,-13.81,7.51,8.57,7.56,5.8,0.72,10.15,4.62,4.9,6.15,8.81,0.4,14.56,11.36,7.15,6.6,6.08,6.21,4.99,4.75,9.36,5.67,7.43,NA,7.52,7.31,6.36,11.16,6.25
"(% Growth over previous year)",2014-15,8.64,9.68,7.63,13.28,7.49,9.67,8.49,5.47,7.46,-1.42,12.71,7.39,7.95,4.93,5.34,6.89,1.8,6.6,1.4,5.58,4.65,6.13,6.06,6.77,8.87,9.51,6.34,4.41,NA,10.2,9.35,7.53,6.44,7.09
"(% Growth over previous year)",2015-16,11,3,NA,7.19,NA,NA,NA,NA,NA,NA,13.34,7.24,NA,7.61,NA,NA,6.48,NA,NA,5.96,NA,NA,6.38,9.19,9.46,NA,7.17,8.73,NA,NA,10.59,8.6,8.6,7.97
"(% Growth over previous year)",2016-17,11.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.46,NA,NA,6.68,NA,NA,8.14,NA,NA,NA,8.13,10.32,NA,NA,NA,NA,NA,NA,8.09,9.04,7.17
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
