"Item Description",Duration,"Andhra Pradesh ","Arunachal Pradesh",Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,"Himachal Pradesh","Jammu & Kashmir",Jharkhand,Karnataka,Kerala,"Madhya Pradesh",Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,"Tamil Nadu",Telangana,Tripura,"Uttar Pradesh",Uttarakhand,"West Bengal1","Andaman & Nicobar Islands",Chandigarh,Delhi,Puducherry,"All_India NDP"
"NSDP - CURRENT PRICES (` in Crore)",2011-12,339996,10229,129354,228497,142273,38009,532809,271152,60536,67272,137383,552720,328021,282370,1119192,11501,18028,6404,10217,201111,239227,396960,9742,674478,325138,17419,645130,102156,NA,3404,16930,314619,15160,7818898
"NSDP - CURRENT PRICES (` in Crore)",2012-13,370196,11617,142039,261327,159431,34567,634572,314353,69432,72963,160304,632211,371384,333936,1271017,12193,19653,7375,11816,229888,267116,446835,10817,768951,363929,19631,733505,117264,NA,3793,19507,357251,16984,8886659
"NSDP - CURRENT PRICES (` in Crore)",2013-14,413164,13398,160442,292143,185939,32043,707456,363590,80129,79966,172030,747788,417265,391369,1450003,14456,20415,8989,14545,256211,301673,497403,12203,861429,408887,23329,837614,132556,NA,4424,22290,404664,19778,10041060
"NSDP - CURRENT PRICES (` in Crore)",2014-15,469909,15410,178479,345571,211016,36290,789949,395890,88196,83217,198386,843918,473045,429896,1572037,16189,21838,10136,16137,282322,332999,554783,13318,970953,462636,27484,925437,142628,NA,5025,25061,447435,21776,11108576
"NSDP - CURRENT PRICES (` in Crore)",2015-16,545638,17229,201758,382223,233023,40659,886092,438140,NA,98063,223234,940006,531126,483969,NA,NA,23936,NA,NA,300236,NA,NA,14558,1080461,522412,NA,1024222,162168,NA,NA,27341,501104,24220,12242873
"NSDP - CURRENT PRICES (` in Crore)",2016-17,620974,NA,NA,NA,256346,NA,NA,494090,NA,NA,NA,NA,NA,571934,NA,NA,26505,NA,NA,334067,NA,NA,NA,1193578,593930,NA,NA,NA,NA,NA,NA,565655,27511,13653519
"(% Growth over previous year)",2012-13,8.88,13.57,9.81,14.37,12.06,-9.05,19.1,15.93,14.7,8.46,16.68,14.38,13.22,18.26,13.57,6.01,9.01,15.17,15.65,14.31,11.66,12.56,11.03,14.01,11.93,12.7,13.7,14.79,NA,11.44,15.23,13.55,12.04,13.65
"(% Growth over previous year)",2013-14,11.61,15.32,12.96,11.79,16.63,-7.3,11.49,15.66,15.41,9.6,7.31,18.28,12.35,17.2,14.08,18.56,3.88,21.88,23.1,11.45,12.94,11.32,12.82,12.03,12.35,18.84,14.19,13.04,NA,16.64,14.26,13.27,16.45,12.99
"(% Growth over previous year)",2014-15,13.73,15.02,11.24,18.29,13.49,13.26,11.66,8.88,10.07,4.07,15.32,12.86,13.37,9.84,8.42,11.99,6.97,12.76,10.94,10.19,10.38,11.54,9.14,12.71,13.15,17.81,10.48,7.6,NA,13.56,12.43,10.57,10.1,10.63
"(% Growth over previous year)",2015-16,16.12,11.8,NA,10.61,NA,NA,NA,NA,NA,NA,12.52,11.39,NA,12.58,NA,NA,9.61,NA,NA,6.35,NA,NA,9.31,11.28,12.92,NA,10.67,13.7,NA,NA,9.1,11.99,11.23,10.21
"(% Growth over previous year)",2016-17,13.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.18,NA,NA,10.73,NA,NA,11.27,NA,NA,NA,10.47,13.69,NA,NA,NA,NA,NA,NA,12.88,13.58,11.52
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
